0.202,Gama Leste/W3 Sul e Norte (EPAR),3.00,46.15,VIPLAN,GAMA,SCRN 716,VIA ACES. HRG/OESTE - GAMA
0.204,Circular Gama Oeste-Leste (via DF-290),1.50,47.37,COOPATAG,GAMA,GAMA,VIA ACES. HRG/OESTE - GAMA
0.205,Gama Sul-Leste/"M" Norte ( Comercial),3.00,45.78,VIAÇÃO SATÉLITE,GAMA,SETOR M NORTE,VIA ACES. HRG/OESTE - GAMA
0.206,Gama ( Tamanduá)/Taguacenter,2.30,57.4,HELIANO LUCIO DA SILVA JESUS,GAMA,TAGUACENTER,VIA ACES. HRG/OESTE - GAMA
0.209,DVO (DF-290)/Eixo Sul-Norte (EPGU),3.00,53.24,COOTARDE,VILA DVO,SCRN 716,DF - 290 - (ANTIGA DF-20)
0.213,Gama Oeste/L2 Sul-Norte (UnB),3.00,54.44,VIPLAN,GAMA,SCRN 716,VIA ACES. HRG/OESTE - GAMA
0.214,Gama Leste/L2 Sul-Norte (UnB),3.00,54.68,VIPLAN,GAMA,SCRN 716,VIA ACES. HRG/OESTE - GAMA
0.215,Gama Leste/Núcleo Bandeirante/Guará,3.00,42.77,VIPLAN,GAMA,GUARÁ 1 ANDRÉ LUIS,AV. PIONEIROS (SENT. OESTE/HRG)
0.216,Gama Oeste/Núcleo Bandeirante/Guará I-II,3.00,41.82,VIPLAN,GAMA,GUARÁ 1 ANDRÉ LUIS,AV. PIONEIROS (SENT. OESTE/HRG)
0.218,Gama Oeste/W3 Norte (SIG),3.00,52.76,VIPLAN,GAMA,SCRN 716,AV. PIONEIROS (SENT. OESTE/HRG)
0.219,Gama (DF-290)/W3 Sul-Norte,3.00,56.47,VIPLAN,GAMA,SCRN 716,VIA ACES. HRG/OESTE - GAMA
0.221,Expresso Gama Oeste/Rodoviária do Plano Piloto,3.00,40.63,VIPLAN,RODOVIÁRIA DO PLANO PILOTO,GAMA,EIXO RODOVIÁRIO SUL - ERS (EIXÃO)
0.222,Expressa Gama Leste/Rodoviária do Plano Piloto,3.00,42.43,VIPLAN,RODOVIÁRIA DO PLANO PILOTO,GAMA,EIXO RODOVIÁRIO SUL - ERS (EIXÃO)
0.223,Gama Sul-Oeste-Leste/Centro Ensino Especial Gama,.00,21.96,VIPLAN,GAMA,CEEG - GAMA,VIA ACES. HRG/OESTE - GAMA
0.224,Gama / Rodoviária do Plano Piloto,3.00,55.91,VIPLAN,GAMA,RODOVIÁRIA DO PLANO PILOTO,VIA ACES. HRG/OESTE - GAMA
0.225,Gama/Setor "O",3.00,49.77,VIAÇÃO PLANETA,GAMA,SETOR "O",VIA ACES. HRG/OESTE - GAMA
0.228,Gama Leste (EDF-290)/Eixo Sul-Norte,3.00,51.67,COOTARDE,GAMA,SCRN 716,VIA ACES. HRG/OESTE - GAMA
0.229,Gama Sul-Oeste/Eixo Sul-Norte,3.00,51.1,COOTARDE,GAMA,SCRN 716,VIA ACES. HRG/OESTE - GAMA
0.234,Gama Oeste-Leste/Águas Claras(via Areal),3.00,42.18,VIPLAN,GAMA,POSTO DE CONTROLE ÁGUAS CLARAS,VIA ACES. HRG/LESTE - GAMA
0.240,Gama / Nucleo Rural Tororó,2.30,56.77,MARIA DO SOCORRO DA SILVA SANTOS,BARREIROS,GAMA,DF - 140
0.250,Santa Maria/Rodoviária do Plano Piloto (Eixo),3.00,38.34,CONDOR,SANTA MARIA- (AC.401),RODOVIÁRIA DO PLANO PILOTO,%AV. SANTA MARIA
0.252,Santa Maria/Rodoviária do Plano Piloto (W3 Sul),3.00,37.91,VIAÇÃO PIONEIRA,SANTA MARIA- (AC.401),RODOVIÁRIA DO PLANO PILOTO,%AV. SANTA MARIA
0.253,Santa Maria/Setor "O" (BR-040/Samambaia),3.00,45.7,VIAÇÃO PIONEIRA,SANTA MARIA- (AC.401),SETOR "O",AV. PARAIM
0.254,Vila DVO/Paranoá,3.00,59.4,CONDOR,PARANOÁ,VILA DVO,AV. PARANOÁ
0.255,Santa Maria/Setor "M" Norte (Comercial),3.00,47.4,VIAÇÃO PIONEIRA,SANTA MARIA- (AC.401),SETOR M NORTE,AV. PARAIM
0.256,Santa Maria/SIA-Cruzeiro-Setor Sudoeste,3.00,46.7,VIAÇÃO PIONEIRA,SANTA MARIA- (AC.401),SHCSW- AV. COM. SUD. 001,AV. PARAIM
0.257,Santa Maria/L2 Sul-Norte (UnB),3.00,52.34,CONDOR,SANTA MARIA- (AC.401),SCRN 716,%AV. SANTA MARIA
0.258,Santa Maria/Núcleo Bandeirante/Guará II-I,3.00,38.77,VIPLAN,SANTA MARIA- (AC.401),GUARÁ 1 ANDRÉ LUIS,%AV. SANTA MARIA
0.259,Santa Maria/Gama Leste-Sul/CEEG,.00,30,VIPLAN,SANTA MARIA Q. 212,CEEG - GAMA,AV. ALAGADOS - SANTA MARIA
0.260,Santa Maria/Setor "P" Sul,3.00,53.21,CONDOR,SANTA MARIA- (AC.119),SETOR P SUL,AV. ALAGADOS - SANTA MARIA
0.261,Expressa Santa Maria (Avenida Alagado)/Rodoviária do Plano Piloto (Eixão),3.00,37.11,COOTARDE,SANTA MARIA- (AC.401),RODOVIÁRIA DO PLANO PILOTO,%AV. SANTA MARIA
0.270,Santa Maria (Qd.400)/Rodovária do Plano Piloto (Eixo),3.00,39.49,CONDOR,SANTA MARIA- (AC.401),RODOVIÁRIA DO PLANO PILOTO,AV. SANTA MARIA
0.272,Santa Maria (QR400)/Rodoviária Plano Piloto (W3 Sul),3.00,38,VIAÇÃO PIONEIRA,SANTA MARIA- (AC.401),RODOVIÁRIA DO PLANO PILOTO,AV. SANTA MARIA
0.273,Santa Maria(Qd.400)/Setor "O"(BR-040-Samambaia),3.00,43.15,VIAÇÃO PIONEIRA,SANTA MARIA- (AC.401),SETOR "O",AV. SANTA MARIA
0.274,Santa Maria (QR-400)/Paranoá (Aeroporto),3.00,62.56,CONDOR,SANTA MARIA- (AC.401),PARANOÁ,AV. SANTA MARIA
0.275,Santa Maria (QR-400) / Setor "M" Norte (Comercial),3.00,43.9,VIAÇÃO PIONEIRA,SANTA MARIA- (AC.401),SETOR M NORTE,AV. SANTA MARIA
0.276,Santa Maria (QR-400)/SIA-SAAN,3.00,47.69,CONDOR,SANTA MARIA- (AC.401),FINAL DA QUADRA 02 DO SAAN,AV. SANTA MARIA
0.277,Santa Maria (QR-400)/L2 Sul-Norte (Esplanada),3.00,48.71,CONDOR,SANTA MARIA- (AC.401),SCRN 716,AV. SANTA MARIA
